year,make,model,miles,trim,sold_price
2019,Alfa Romeo,Stelvio,25851,Ti,37990
2019,Chevrolet,Equinox,58803,LT,20891
2017,Kia,Sorento,89722,LX,17990
2017,Honda,Civic,34150,EX-T,23990
2017,Ford,Escape,32506,Titanium,24590
2018,Nissan,Rogue,35961,SL,25990
2018,GMC,Acadia,73881,SLE-2,25990
2019,Subaru,Ascent,32437,Touring,37990
2018,Jeep,Renegade,33170,Latitude,21590
2021,Toyota,Tundra CrewMax,15950,SR5 5 1/2 ft,50990
2019,Subaru,Ascent,38424,Limited,34990
2011,BMW,X5,76011,xDrive35i Sport Activity,18590
2013,Nissan,JUKE,91457,SL,15990
2014,BMW,5 Series,51692,535i,24990
2012,Volkswagen,Golf,73573,TDI,15990
2021,Ram,1500 Quad Cab,685,Big Horn 6 1/3 ft,42590
2020,Ford,Edge,48483,SEL,25993
2017,GMC,Canyon Crew Cab,101831,SLE 5 ft,25990
2015,Subaru,BRZ,58231,Limited,24990
2016,Buick,LaCrosse,85549,Leather,18990
2014,Jeep,Cherokee,82355,Altitude,17990
2012,Jeep,Wrangler,84622,Sport,22990
2009,Honda,Civic,104435,EX-L,12990
2018,Nissan,Versa Note,4774,SV,19990
2014,Kia,Sorento,98655,LX,16990
2014,Lincoln,Navigator,83813,base,24990
2019,Toyota,Corolla,20839,LE,21990
2012,Honda,Odyssey,98743,EX-L,18990
2009,Lexus,LS,73786,LS 460,21590
2021,Dodge,Challenger,2427,SRT Hellcat Redeye Widebody,94990
2017,Land Rover,Discovery,49036,HSE Luxury,40590
2016,FIAT,500X,82095,Easy,14990
2019,Toyota,Yaris,62777,LE,18990
2014,Ford,Taurus,44307,Limited,19990
2015,Toyota,Camry,63483,SE,19990
2014,Ram,1500 Crew Cab,93150,Tradesman 5 1/2 ft,23990
2017,Mercedes-Benz,CLA,43632,CLA 250 4MATIC,28990
2011,Buick,LaCrosse,41977,CX,15990
2009,Nissan,Titan Crew Cab,93660,XE 5 1/2 ft,17590
